event_id,category,intro_text,choice_a_text,choice_a_intellect,choice_a_looks,choice_a_body,choice_a_spirituality,choice_a_reward_text,choice_b_text,choice_b_intellect,choice_b_looks,choice_b_body,choice_b_spirituality,choice_b_reward_text,prerequisite_event_id,is_repeatable
47,social,New friend introduces you to their friend group,Talk mainly with the guys.,0,0,1,2,You bond over shared interests and hobbies.,Make friend with the girls.,0,1,0,2,You build supportive female friendships.,,FALSE
48,social,Classmate asks for your phone number to hang out,"Accept, feel flattered.",1,0,0,2,You start building a new friendship.,"Accept, it's normal, you're worth it.",0,3,0,0,You build confidence and social connections.,,FALSE
49,social,Classmate compliments your presentation in front of everyone,Thank him publicly with a winner smile,0,3,0,0,Your confidence boosts your class reputation.,Stay humble and put the focus on the work,0,0,0,3,Your humility earns genuine respect.,,FALSE
50,wellness,You find a new hiking trail near your home.,Challenge the difficult path,0,0,3,0,You feel accomplished and connected to nature!,Take the scenic easy route,0,1,1,2,You enjoyed peaceful reflection and fresh air.,,FALSE
51,wellness,You wake up early with extra energy.,Go for a morning run,0,1,2,1,You feel energized and alive!,Meditate and write on your journal,1,0,0,3,You found clarity and inner peace.,,FALSE
52,wellness,The hiking trail leads to a hidden waterfall meditation spot.,Create a daily practice here,0,0,1,4,You found your spiritual sanctuary!,Share location online,0,2,0,1,Your post went viral and inspired many!,50,FALSE
53,wellness,Free nutrition consultation offered,Try a bold 30-day plan and log results,0,0,3,0,The bold trial sparks big health shifts quickly.,Pick three small habit changes and measure them,1,0,1,1,Small changes stack into steady sustainable gains.,,FALSE
54,wellness,Neighbor invites sunrise yoga,Go to the session to make friends,0,0,0,3,You find peace and community connections.,Attend quietly to refresh focus and energy,0,0,1,2,Quiet attendance renews energy without pressure.,,FALSE
55,wellness,Woodland trail picnic calls,Organize a small mindful retreat with friends,0,1,0,2,A group retreat can restore and bond deeply.,Go solo to journal and sketch ideas,1,1,0,1,Solitude sparks creativity and clarity.,,FALSE
56,wellness,Sleep-reset app suggests changes,Commit to a strict reset routine for a week,1,0,2,0,Resetting sleep can reboot focus and mood fast.,"You don't have time for sleep, uninstall the app",1,1,0,1,You focus on priorities without distractions.,,FALSE
57,wellness,Motivation to exercise dips,Join a public challenge with daily logs,0,0,2,1,Challenges boost accountability and momentum.,Try creative dance movement to rekindle joy,0,2,1,0,You rediscover fitness through fun movement.,,FALSE
58,wellness,Local spa offers a trial treatment,Call your family and enjoy it together,1,1,0,1,You bond with family through relaxation.,"Call all your besties, it's spa time!",0,2,0,1,You create relaxing memories with friends.,,FALSE
59,wellness,Friend challenges you to a hydration streak,Make it a challenge between all your friends,0,1,1,1,You motivate your entire social circle.,You got to win this! Make a detailled plan.,1,0,2,0,Your strategy leads to improved health.,,FALSE
60,wellness,You meet a charismatic wellness guide during a conference.,"Listen to his teaching, it might work for you.",1,0,1,1,You gain new perspectives on wellbeing.,"Make extensive research first, might be a scam.",2,0,0,1,Your caution protects you from potential fraud.,,FALSE
